service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
526,0,0,1,0,0,0,0,20230410,20230702
525,0,1,0,0,0,0,0,20230410,20230702
527,0,0,0,1,0,0,0,20230410,20230702
528,0,0,0,0,1,0,0,20230410,20230702
531,1,0,0,0,0,0,0,20230410,20230702
535,1,1,1,1,0,0,0,20230703,20230916
536,0,0,0,0,1,0,0,20230703,20230916
533,0,0,0,0,0,0,0,20230410,20230702
530,0,0,0,0,0,0,1,20230410,20230702
529,0,0,0,0,0,1,0,20230410,20230702
532,0,0,0,0,0,0,0,20230410,20230702
524,0,0,0,0,0,0,0,20230410,20230702
534,0,0,0,0,0,0,0,20230703,20230916
538,0,0,0,0,0,0,1,20230703,20230916
539,0,0,0,0,0,0,0,20230703,20230916
537,0,0,0,0,0,1,0,20230703,20230916
